Accident_ID,Date,Time,City,Latitude,Longitude,Weather,Road_Type,Light_Condition,Vehicle_Type,Speed_Limit,Traffic_Density,Road_Condition,Driver_Age,Driver_Experience,Seatbelt_or_Helmet,Traffic_Violation,Near_School,Near_Hospital,Emergency_Response_Time,Accident_Hotspot,Severity,Injuries,Fatalities
PK-ACC-000001,2023-04-13,01:34,Faisalabad City,31.418294775287194,73.11084375269054,Clear,Rural Road,Daylight,Car,100,Medium,Dry,34,15,No,No,No,No,22,No,Medium,1,0
PK-ACC-000002,2024-03-11,06:20,Summundri,31.13225256770002,72.83193551943201,Clear,Urban Road,Dusk,Car,120,Medium,Dry,30,1,Yes,No,No,No,29,No,Medium,2,0
PK-ACC-000003,2023-09-28,01:33,Chaman,30.92726432814096,66.47731958511262,Rain,Highway,Night,Bus,80,Medium,Dry,44,6,Yes,No,No,No,24,Yes,Medium,1,1
PK-ACC-000004,2023-04-17,07:15,Kotli Sattian,33.849467534334615,73.50701235018124,Clear,Highway,Daylight,Car,100,High,Dry,43,20,Yes,No,No,No,22,No,Low,0,0
PK-ACC-000005,2023-03-13,02:22,Mian Channu,30.337826213249762,72.35720987859119,Clear,Highway,Dawn,Car,80,High,Under Construction,22,0,No,No,No,No,22,Yes,Medium,2,0
PK-ACC-000006,2024-12-01,21:30,Swabi,34.123595009123534,72.4581208535827,Clear,Urban Road,Night,Motorcycle,60,Medium,Dry,36,5,Yes,Yes,No,No,19,Yes,Medium,3,0
PK-ACC-000007,2023-01-21,05:18,Muzaffargarh,30.30512731409544,71.17751418067706,Clear,Rural Road,Night,Motorcycle,60,Medium,Wet,34,7,No,Yes,No,Yes,19,Yes,High,5,1
PK-ACC-000008,2024-09-06,21:44,Haroonabad,29.34279341173501,73.19342911034526,Clear,Urban Road,Daylight,Motorcycle,40,Low,Dry,65,32,Yes,Yes,No,No,17,No,Low,2,0
PK-ACC-000009,2023-05-02,03:48,Khairpur,27.53568988087198,68.75486613916433,Clear,Rural Road,Daylight,Car,40,High,Wet,70,52,No,Yes,No,No,53,No,Medium,1,0
PK-ACC-000010,2024-04-11,23:08,Dera Ismail Khan,31.821948245816145,70.92811348010018,Storm,Urban Road,Dusk,Van,40,Medium,Dry,50,29,Yes,Yes,No,No,16,No,Medium,1,0
PK-ACC-000011,2023-08-03,02:58,Jand,33.13814545833306,71.86224438700013,Clear,Highway,Daylight,Motorcycle,80,High,Under Construction,19,1,Yes,No,No,No,11,Yes,Medium,2,0
PK-ACC-000012,2023-11-27,00:32,Bahawalpur,29.2727994832558,71.88209994961423,Clear,Urban Road,Dusk,Bus,60,High,Under Construction,35,1,Yes,No,No,No,16,No,Low,0,0
PK-ACC-000013,2024-04-03,16:56,Gujranwala,32.32456998682457,74.13758394576051,Clear,Urban Road,Daylight,Motorcycle,80,High,Dry,37,2,No,No,No,Yes,18,No,Low,0,0
PK-ACC-000014,2023-03-29,12:04,Faisalabad Sadar,31.33846082290349,72.97497328734106,Fog,Urban Road,Night,Motorcycle,80,Medium,Under Construction,44,24,Yes,No,No,No,16,Yes,High,3,2
PK-ACC-000015,2024-01-08,18:57,Larkana,27.555219726283333,68.17091060160672,Clear,Motorway,Daylight,Van,60,High,Dry,42,16,Yes,No,No,No,20,Yes,Low,0,0
PK-ACC-000016,2023-04-10,09:08,Fort Abbas,29.14740724178397,72.86843819171851,Fog,Highway,Daylight,Motorcycle,40,Medium,Dry,61,5,No,No,No,No,17,No,Medium,3,0
PK-ACC-000017,2024-10-25,05:20,Fort Abbas,28.968418528536752,73.06502647606258,Rain,Highway,Dawn,Car,40,Medium,Dry,55,32,No,Yes,Yes,No,8,No,Medium,1,0
PK-ACC-000018,2023-05-11,16:21,Dera Murad Jamali,28.53786501914255,68.23461003227088,Clear,Highway,Daylight,Motorcycle,120,Medium,Dry,70,31,No,Yes,No,No,13,No,High,3,2
PK-ACC-000019,2024-10-23,20:56,Nankana Sahib,31.40655299420177,73.5805875842511,Clear,Highway,Daylight,Car,80,Medium,Dry,18,0,No,No,No,No,25,No,Low,0,0
PK-ACC-000020,2023-11-05,06:47,Hafizabad,32.089347189917184,73.62156916161325,Clear,Urban Road,Night,Van,60,Medium,Dry,41,17,No,No,No,No,51,No,Low,1,0
PK-ACC-000021,2023-12-10,18:04,Khanewal,30.462491892897496,71.86831901258267,Fog,Rural Road,Daylight,Motorcycle,60,Low,Dry,68,13,No,No,No,No,25,No,Medium,1,0
PK-ACC-000022,2024-05-06,21:58,Lodhran,29.471359191017868,71.42234296064318,Clear,Rural Road,Night,Car,40,Low,Dry,48,5,Yes,No,No,No,6,Yes,Low,2,0
PK-ACC-000023,2024-02-18,17:06,Wazirabad,32.4312517394504,74.28150228416179,Clear,Motorway,Daylight,Motorcycle,60,Medium,Under Construction,33,5,Yes,No,No,No,14,No,Low,1,0
PK-ACC-000024,2024-01-21,04:31,Turbat,26.039411715405976,63.01992146461344,Fog,Highway,Night,Motorcycle,60,Medium,Wet,62,34,Yes,No,Yes,No,11,No,Medium,2,0
PK-ACC-000025,2023-07-11,07:08,Chaman,30.908779350849414,66.4476851726251,Clear,Highway,Daylight,Car,40,Medium,Dry,47,3,No,No,Yes,No,16,No,Low,0,0
PK-ACC-000026,2023-10-04,21:27,Zhob,31.361337414048823,69.43299498843572,Clear,Urban Road,Daylight,Motorcycle,60,High,Dry,62,29,No,Yes,No,No,8,No,Medium,3,0
PK-ACC-000027,2023-06-10,19:03,Khuzdar,27.781576630587754,66.63408885070855,Clear,Urban Road,Night,Motorcycle,100,High,Wet,65,20,No,Yes,No,No,7,Yes,High,3,3
PK-ACC-000028,2024-04-04,02:43,Turbat,25.965801515896015,63.013114084738554,Clear,Urban Road,Night,Motorcycle,40,Medium,Under Construction,52,14,No,No,No,No,14,Yes,Medium,2,0
PK-ACC-000029,2023-11-10,08:41,Kahror Pacca,29.648234412608183,71.95786685404822,Clear,Urban Road,Night,Motorcycle,60,High,Dry,25,5,No,No,No,No,34,No,Medium,2,0
PK-ACC-000030,2023-01-22,10:47,Jhang,31.36109518447043,72.54002984783284,Clear,Highway,Dawn,Car,60,Low,Dry,18,0,No,Yes,No,No,11,No,Medium,3,0
PK-ACC-000031,2023-09-10,10:21,Mian Channu,30.58423379773828,72.5412870664833,Clear,Highway,Daylight,Motorcycle,80,High,Dry,27,8,Yes,No,No,No,10,No,Low,0,0
PK-ACC-000032,2024-07-14,07:45,Khairpur,27.5582911998125,68.73694523317306,Fog,Urban Road,Night,Car,40,Medium,Wet,60,15,No,Yes,No,No,11,Yes,Medium,3,0
PK-ACC-000033,2024-04-19,01:30,Faisalabad City,31.395499712847673,73.05505613733006,Clear,Motorway,Dawn,Car,60,Medium,Dry,40,20,Yes,Yes,No,No,12,No,Low,1,0
PK-ACC-000034,2023-02-28,03:14,Attock,33.97779930564802,72.413634174729,Clear,Highway,Daylight,Motorcycle,60,Medium,Dry,35,17,No,Yes,No,No,15,No,Medium,2,0
PK-ACC-000035,2024-05-25,17:10,Larkana,27.584182824678475,68.21158658337727,Storm,Highway,Daylight,Van,120,High,Dry,56,12,No,No,No,No,20,No,High,5,0
PK-ACC-000036,2024-11-12,18:49,Multan Saddar,30.102660679397975,71.25393106529403,Clear,Highway,Night,Motorcycle,40,Medium,Under Construction,36,5,No,No,Yes,No,20,No,Medium,2,0
PK-ACC-000037,2024-04-20,08:24,Jacobabad,28.25216977764305,68.42571161246823,Clear,Highway,Daylight,Car,40,Medium,Wet,70,49,Yes,No,No,No,44,No,Low,0,0
PK-ACC-000038,2024-11-30,21:59,Murree,33.85600759471266,73.50317020348005,Rain,Highway,Daylight,Motorcycle,60,Medium,Dry,49,17,No,Yes,No,No,23,Yes,High,4,1
PK-ACC-000039,2023-07-09,22:36,Jaranwala,31.4604814585594,73.39136329240829,Clear,Rural Road,Dusk,Motorcycle,40,Medium,Dry,41,8,Yes,No,No,No,23,No,Low,0,0
PK-ACC-000040,2024-11-17,09:16,Rawalpindi,33.55807324819905,72.90835408315843,Clear,Highway,Daylight,Motorcycle,40,High,Dry,26,0,No,No,No,No,6,Yes,Low,0,0
PK-ACC-000041,2024-07-16,19:12,Loralai,30.35260335746939,68.5705484116475,Fog,Urban Road,Night,Motorcycle,80,Low,Dry,61,1,No,Yes,No,No,16,No,High,4,2
PK-ACC-000042,2024-07-20,03:31,Rahim Yar Khan,28.128431062821832,70.49363756822531,Clear,Urban Road,Daylight,Truck,120,High,Dry,60,8,No,No,No,No,24,No,Medium,1,0
PK-ACC-000043,2023-09-01,13:39,Dera Ghazi Khan,29.868720331488646,70.76486562411698,Clear,Urban Road,Night,Motorcycle,40,Low,Wet,65,14,No,No,Yes,No,5,No,Low,2,0
PK-ACC-000044,2024-05-19,20:14,Tandlian Wala,31.260430444869915,73.34873653869903,Rain,Highway,Daylight,Car,80,Medium,Under Construction,48,19,Yes,Yes,No,No,11,No,Medium,1,0
PK-ACC-000045,2023-05-11,02:16,Tandlian Wala,31.073331785384553,73.40590391942835,Clear,Rural Road,Dawn,Car,40,Low,Dry,68,12,No,No,No,No,13,No,Low,0,0
PK-ACC-000046,2024-04-29,14:32,Larkana,27.541550458882117,68.24432446378339,Clear,Highway,Daylight,Car,60,High,Wet,36,15,Yes,No,No,No,16,Yes,Low,0,0
PK-ACC-000047,2024-10-08,04:07,Kohat,33.60049283863951,71.51418894711895,Storm,Highway,Daylight,Car,40,Medium,Dry,68,14,No,No,No,No,22,No,Medium,3,0
PK-ACC-000048,2023-01-21,08:57,Jaranwala,31.21830275369362,73.34252647352425,Clear,Highway,Dusk,Car,40,Medium,Wet,70,26,No,No,No,No,8,Yes,Low,2,0
PK-ACC-000049,2023-06-16,01:36,Hub,25.00351538754257,66.85134951941545,Clear,Rural Road,Night,Motorcycle,100,Low,Dry,30,0,No,No,No,No,14,Yes,High,2,1
PK-ACC-000050,2023-10-01,03:11,Taxila,33.76337524862622,72.90476452081148,Clear,Urban Road,Daylight,Car,120,High,Dry,58,35,No,Yes,No,No,9,No,Medium,1,0
PK-ACC-000051,2024-01-23,18:26,Naushera,32.62967660362759,72.03952147554149,Clear,Motorway,Daylight,Car,80,Low,Wet,67,34,No,No,No,No,25,No,Medium,1,0
PK-ACC-000052,2024-08-23,23:01,Kasur,31.247339416217628,74.60076045201265,Clear,Urban Road,Daylight,Truck,100,High,Dry,47,27,Yes,Yes,No,No,11,No,Medium,1,0
PK-ACC-000053,2023-11-12,15:01,Shikarpur,27.97427230646256,68.64845186616293,Fog,Urban Road,Night,Motorcycle,60,High,Dry,49,20,No,No,No,No,11,Yes,Medium,1,0
PK-ACC-000054,2023-01-14,20:09,Muzaffargarh,30.205504045177307,71.10754897590219,Clear,Motorway,Night,Car,100,Medium,Wet,39,16,Yes,No,No,No,16,No,Medium,2,0
PK-ACC-000055,2023-08-30,09:16,Mian Channu,30.503893893326083,72.16757016431954,Clear,Urban Road,Night,Car,80,Medium,Dry,24,6,Yes,No,No,No,23,No,Low,1,0
PK-ACC-000056,2023-12-12,11:06,Bahawalpur,29.39348230539936,71.54273036091574,Rain,Urban Road,Night,Motorcycle,60,Low,Wet,59,37,No,No,Yes,No,26,No,Medium,3,0
PK-ACC-000057,2024-07-18,08:45,Kahuta,33.458944214164795,73.53451138561536,Clear,Urban Road,Daylight,Motorcycle,80,High,Wet,58,29,No,No,No,No,17,No,Medium,2,0
PK-ACC-000058,2023-12-06,17:09,Mianwali,32.60159700540969,71.7503396070994,Clear,Urban Road,Daylight,Van,60,Medium,Dry,21,1,No,Yes,No,No,19,No,Medium,1,0
PK-ACC-000059,2023-04-02,15:00,Nawabshah,26.216307960233564,68.40747245001532,Storm,Motorway,Daylight,Car,60,Medium,Dry,46,13,No,No,No,No,14,Yes,Medium,4,0
PK-ACC-000060,2024-01-02,08:12,Hub,25.023897825467916,66.87638090193695,Clear,Rural Road,Dusk,Van,40,Medium,Dry,61,16,Yes,No,No,No,20,No,Low,0,0
PK-ACC-000061,2024-03-30,15:15,Kahror Pacca,29.622169152399483,71.85661865362042,Clear,Rural Road,Daylight,Car,60,Medium,Dry,66,26,No,No,No,No,29,No,Low,0,0
PK-ACC-000062,2024-03-03,01:40,Loralai,30.36889611630303,68.61902437570146,Fog,Motorway,Daylight,Van,40,Medium,Wet,26,7,Yes,No,No,No,8,No,Low,0,0
PK-ACC-000063,2024-05-23,12:07,Hazro,33.89772204001649,72.37742047406657,Rain,Urban Road,Daylight,Motorcycle,80,Medium,Dry,25,1,No,Yes,No,Yes,29,No,High,2,1
PK-ACC-000064,2023-02-04,22:10,Liaqatpur,29.010195656200207,71.08444769309435,Clear,Urban Road,Night,Van,60,High,Dry,22,4,No,No,No,No,9,Yes,Low,0,0
PK-ACC-000065,2023-07-25,16:51,Abbottabad,34.19616082323611,73.1910156867317,Clear,Highway,Night,Car,60,Low,Dry,65,26,No,No,No,No,32,No,Medium,2,0
PK-ACC-000066,2023-03-22,10:10,Dera Ghazi Khan,30.12360997871334,70.64312741795825,Rain,Urban Road,Daylight,Motorcycle,40,Low,Dry,53,13,Yes,No,No,Yes,14,No,Low,0,0
PK-ACC-000067,2024-07-15,15:06,Multan Saddar,29.958301577418425,71.36853996568186,Clear,Highway,Daylight,Motorcycle,40,Medium,Wet,43,22,Yes,Yes,No,No,14,No,Medium,1,0
PK-ACC-000068,2024-01-23,21:00,Kohat,33.549491368360314,71.48934570080722,Clear,Rural Road,Night,Car,40,Low,Wet,23,1,No,No,No,No,16,Yes,Low,0,0
